Date,Close/Last,Volume,Open,High,Low
04/22/2022,$42.32,784,$41.78,$42.32,$41.78
04/21/2022,$38.3,1651,$38.3,$38.3,$38.3
04/20/2022,$38.135,246,$38.135,$38.135,$38.135
04/19/2022,$39.46,443,$37.98,$39.46,$37.98
04/18/2022,$38.98,469,$38.98,$38.98,$38.98
04/14/2022,$39.19,448,$39.19,$39.19,$39.19
04/13/2022,$41.095,1460,$39.93,$41.095,$39.93
04/12/2022,$41.97,517,$41.97,$41.97,$41.97
04/11/2022,$42.0725,200,$42.0725,$42.0725,$42.0725
04/08/2022,$43.99,524,$43.45,$43.99,$43
04/07/2022,$43.8,N/A,$43.8,$43.8,$43.8
04/06/2022,$43.8,180,$43.8,$43.8,$43.8
04/05/2022,$45.785,N/A,$45.785,$45.785,$45.785
04/04/2022,$45.785,196,$45.785,$45.785,$45.785
04/01/2022,$44.4337,N/A,$44.4337,$44.4337,$44.4337
03/31/2022,$44.4337,1055,$44.4337,$44.4337,$44.4337
03/30/2022,$43.03,N/A,$43.03,$43.03,$43.03
03/29/2022,$43.03,N/A,$43.03,$43.03,$43.03
03/28/2022,$43.03,N/A,$43.03,$43.03,$43.03
03/25/2022,$43.03,2137,$43.03,$43.03,$43.03
03/24/2022,$43.0501,3632,$43.0501,$43.0501,$43.0501
03/23/2022,$42.84,N/A,$42.84,$42.84,$42.84
03/22/2022,$42.84,N/A,$42.84,$42.84,$42.84
03/21/2022,$42.84,412,$42.84,$42.84,$42.84
03/18/2022,$42.45,N/A,$42.45,$42.45,$42.45
03/17/2022,$42.45,N/A,$42.45,$42.45,$42.45
03/16/2022,$42.45,2170,$42.25,$42.45,$42.25
03/15/2022,$41.33,4231,$42.325,$42.325,$41.33
03/14/2022,$44.16,N/A,$44.16,$44.16,$44.16
03/11/2022,$44.16,349,$44.16,$44.16,$44.16
03/10/2022,$44.9,146,$44.9,$44.9,$44.9
03/09/2022,$46.145,4841,$46,$46.145,$46
03/08/2022,$44.53,4331,$44.53,$44.53,$44.53
03/07/2022,$43.18,1067,$45,$45,$43.18
03/04/2022,$45.76,1332,$45.97,$45.97,$45.76
03/03/2022,$49.605,682,$48.36,$49.605,$48.36
03/02/2022,$53.84,N/A,$53.84,$53.84,$53.84
03/01/2022,$53.84,267,$53.84,$53.84,$53.84
02/28/2022,$54.26,12354,$55.63,$55.63,$53.75
02/25/2022,$50.75,N/A,$50.75,$50.75,$50.75
02/24/2022,$50.75,580,$50.75,$50.75,$50.75
02/23/2022,$54.42,299,$54.42,$54.42,$54.42
02/22/2022,$51.8,N/A,$51.8,$51.8,$51.8
02/18/2022,$51.8,N/A,$51.8,$51.8,$51.8
02/17/2022,$51.8,962,$50.86,$52.06,$50.86
02/16/2022,$57.26,N/A,$57.26,$57.26,$57.26
02/15/2022,$57.26,848,$56.21,$57.44,$56.21
02/14/2022,$57.7575,N/A,$57.7575,$57.7575,$57.7575
02/11/2022,$57.7575,N/A,$57.7575,$57.7575,$57.7575
02/10/2022,$57.7575,300,$59.64,$59.64,$57.7575
02/09/2022,$56.83,609,$56.1,$57.94,$56.1
02/08/2022,$57.41,395,$57.41,$57.41,$57.41
02/07/2022,$58.41,N/A,$58.41,$58.41,$58.41
02/04/2022,$58.41,1408,$57.585,$59.58,$57.585
02/03/2022,$59.11,18780,$58,$59.34,$56.83
02/02/2022,$58.744,26802,$59,$59.2,$58.62
02/01/2022,$58.725,10708,$59.0542,$59.0542,$58.725
01/31/2022,$55.03,N/A,$55.03,$55.03,$55.03
01/28/2022,$55.03,1195,$55.07,$55.07,$55.03
01/27/2022,$54.62,27088,$54.74,$54.74,$54.3
01/26/2022,$54.535,631,$54.97,$54.97,$54.12
01/25/2022,$53.915,986,$54.01,$54.01,$53.915
01/24/2022,$56.61,606,$56.055,$57.18,$56.055
01/21/2022,$58.69,7656,$60.99,$60.99,$58.69
01/20/2022,$59.84,2424,$62,$62,$59.84
01/19/2022,$59.25,2705,$59.15,$59.25,$59.15
01/18/2022,$57,1824,$58.12,$58.12,$57
01/14/2022,$53.66,762,$53.73,$53.73,$53.66
01/13/2022,$53.91,289,$53.91,$53.91,$53.91
01/12/2022,$50.57,N/A,$50.57,$50.57,$50.57
01/11/2022,$50.57,N/A,$50.57,$50.57,$50.57
01/10/2022,$50.57,871,$46.18,$50.57,$46.18
01/07/2022,$48.94,N/A,$48.94,$48.94,$48.94
01/06/2022,$48.94,N/A,$48.94,$48.94,$48.94
01/05/2022,$48.94,998,$47.0173,$48.94,$47.0173
01/04/2022,$50.57,N/A,$50.57,$50.57,$50.57
01/03/2022,$50.57,973,$50.57,$50.57,$50.57
12/31/2021,$48.79,2311,$46.8801,$48.79,$46.8801
12/30/2021,$46.44,310,$46.44,$46.44,$46.44
12/29/2021,$48.21,254,$48.21,$48.21,$48.21
12/28/2021,$46.8,297,$46.8,$46.8,$46.8
12/27/2021,$50,296,$50,$50,$50
12/23/2021,$49.3275,649,$50.35,$50.35,$49.3275
12/22/2021,$47.37,7586,$49.3498,$49.3498,$47.37
12/21/2021,$49,N/A,$49,$49,$49
12/20/2021,$49,1003,$48.99,$49,$48.99
12/17/2021,$45.788,N/A,$45.788,$45.788,$45.788
12/16/2021,$45.788,110,$45.788,$45.788,$45.788
12/15/2021,$45.6501,N/A,$45.6501,$45.6501,$45.6501
12/14/2021,$45.6501,N/A,$45.6501,$45.6501,$45.6501
12/13/2021,$45.6501,6460,$47.182,$47.182,$45.6501
12/10/2021,$47.22,1099,$48.1876,$48.1876,$47.22
12/09/2021,$50.64,N/A,$50.64,$50.64,$50.64
12/08/2021,$50.64,1241,$49.233,$50.64,$49.233
12/07/2021,$47.41,N/A,$47.41,$47.41,$47.41
12/06/2021,$47.41,336,$47.41,$47.41,$47.41
12/03/2021,$48.27,N/A,$48.27,$48.27,$48.27
12/02/2021,$48.27,401,$48.27,$48.27,$48.27
12/01/2021,$48.2,323,$48.2,$48.2,$48.2
11/30/2021,$50.32,541,$50.32,$50.32,$50.32
11/29/2021,$48.55,N/A,$48.55,$48.55,$48.55
11/26/2021,$48.55,N/A,$48.55,$48.55,$48.55
11/24/2021,$48.55,348,$48.55,$48.55,$48.55
11/23/2021,$50.77,143,$50.77,$50.77,$50.77
11/22/2021,$50.65,477,$50.61,$50.65,$50.61
11/19/2021,$51.235,1282,$51.235,$51.235,$51.235
11/18/2021,$50.23,811,$50.26,$51.5,$50.23
11/17/2021,$51.99,472,$52.41,$52.41,$51.99
11/16/2021,$51.12,N/A,$51.12,$51.12,$51.12
11/15/2021,$51.12,415,$51.12,$51.12,$51.12
11/12/2021,$51.8,820,$51.84,$51.84,$51.8
11/11/2021,$54.06,100,$54.06,$54.06,$54.06
11/10/2021,$53.2,526,$54.095,$54.095,$53.2
11/09/2021,$55.16,N/A,$55.16,$55.16,$55.16
11/08/2021,$55.16,N/A,$55.16,$55.16,$55.16
11/05/2021,$55.16,116,$55.16,$55.16,$55.16
11/04/2021,$54.55,N/A,$54.55,$54.55,$54.55
11/03/2021,$54.55,363,$54.55,$54.55,$54.55
11/02/2021,$51.01,N/A,$51.01,$51.01,$51.01
11/01/2021,$51.01,N/A,$51.01,$51.01,$51.01
10/29/2021,$51.01,N/A,$51.01,$51.01,$51.01
10/28/2021,$51.01,110,$51.01,$51.01,$51.01
10/27/2021,$51.015,285,$51.015,$51.015,$51.015
10/26/2021,$53.25,130,$53.25,$53.25,$53.25
10/25/2021,$53.25,N/A,$53.25,$53.25,$53.25
10/22/2021,$53.25,N/A,$53.25,$53.25,$53.25
10/21/2021,$53.25,N/A,$53.25,$53.25,$53.25
10/20/2021,$53.25,N/A,$53.25,$53.25,$53.25
