Period,PE Ratio
2018-09-05,50.0224
2018-09-04,50.9058
2018-08-31,50.8565
2018-08-30,51.9910
2018-08-29,57.6323
2018-08-28,57.3049
2018-08-27,57.8341
2018-08-24,57.8341
2018-08-23,56.5516
2018-08-22,57.2287
2018-08-21,56.8430
2018-08-20,57.2691
2018-08-17,57.4036
2018-08-16,58.1659
2018-08-15,57.4215
2018-08-14,59.1525
2018-08-13,58.8879
2018-08-10,58.8879
2018-08-09,57.3184
2018-08-08,57.5830
2018-08-07,57.4439
2018-08-06,57.8610
2018-08-03,58.6861
2018-08-02,57.6906
2018-08-01,57.1659
2018-07-31,57.7354
2018-07-30,56.5964
2018-07-27,60.0045
2018-07-26,63.6323
2018-07-25,65.6951
2018-07-24,64.7175
2018-07-23,65.7220
2018-07-20,66.1345
2018-07-19,66.3498
2018-07-18,66.7848
2018-07-17,66.6996
2018-07-16,65.7758
2018-07-13,66.6951
2018-07-12,66.6413
2018-07-11,65.3453
2018-07-10,64.6592
2018-07-09,64.8610
2018-07-06,65.0673
2018-07-05,64.2287
2018-07-03,63.3318
2018-07-02,64.3408
2018-06-30,63.2377
2018-06-29,42.2216
2018-06-28,42.1048
2018-06-27,41.2425
2018-06-26,42.0269
2018-06-25,42.0719
2018-06-22,42.2934
2018-06-21,42.8593
2018-06-20,42.9760
2018-06-19,42.8413
2018-06-18,43.3713
2018-06-15,43.9072
2018-06-14,43.2305
2018-06-13,42.8982
2018-06-12,41.8503
2018-06-11,41.6647
2018-06-08,41.2784
2018-06-07,40.9910
2018-06-06,41.0000
2018-06-05,41.0060
2018-06-04,40.3174
2018-06-01,40.6257
2018-05-31,39.1946
2018-05-30,39.3323
2018-05-29,39.2964
2018-05-25,39.4760
2018-05-24,39.3653
2018-05-23,39.9701
2018-05-22,39.5749
2018-05-21,39.7934
2018-05-18,39.5210
2018-05-17,39.1647
2018-05-16,39.1796
2018-05-15,38.9551
2018-05-14,39.6796
2018-05-11,39.7635
2018-05-10,40.0479
2018-05-09,39.2246
2018-05-08,37.0928
2018-05-07,37.1018
2018-05-04,37.0180
2018-05-03,35.9790
2018-05-02,35.6108
2018-05-01,35.8772
2018-04-30,35.3234
2018-04-27,35.1707
2018-04-26,35.8084
2018-04-25,34.9341
2018-04-24,35.5060
2018-04-23,35.8084
2018-04-20,36.1946
2018-04-19,36.8593
2018-04-18,37.4042
2018-04-17,37.2186
2018-04-16,36.5838
2018-04-13,36.0868
2018-04-12,36.2545
2018-04-11,35.5629
2018-04-10,36.1407
2018-04-09,35.5868
2018-04-06,35.4371
2018-04-05,36.2964
2018-04-04,35.9611
2018-04-03,35.7814
2018-04-02,35.5449
2018-03-31,36.2994
2018-03-29,37.8875
2018-03-28,37.2906
2018-03-27,37.4938
2018-03-26,39.5125
2018-03-23,37.9500
2018-03-22,38.4313
2018-03-21,39.3750
2018-03-20,39.6406
2018-03-19,39.2000
2018-03-16,40.1625
2018-03-15,40.3500
2018-03-14,39.9906
2018-03-13,39.5531
2018-03-12,40.0375
2018-03-09,40.1531
2018-03-08,40.2563
2018-03-07,39.7406
2018-03-06,38.9219
2018-03-05,39.4063
2018-03-02,39.0906
2018-03-01,38.1781
2018-02-28,38.6563
2018-02-27,39.3125
2018-02-26,40.1781
2018-02-23,39.7188
2018-02-22,38.9406
2018-02-21,39.0313
2018-02-20,39.4813
2018-02-16,39.3813
2018-02-15,39.5250
2018-02-14,38.6781
2018-02-13,38.2125
2018-02-12,38.1938
2018-02-09,37.7000
2018-02-08,36.4188
2018-02-07,38.4531
2018-02-06,38.4781
2018-02-05,38.0125
2018-02-02,38.9156
2018-02-01,40.0563
2018-01-31,39.6750
2018-01-30,37.0938
2018-01-29,36.7656
2018-01-26,36.0000
2018-01-25,35.7813
2018-01-24,35.8313
2018-01-23,36.7719
2018-01-22,36.8719
2018-01-19,36.3063
2018-01-18,36.0250
2018-01-17,35.3563
2018-01-16,34.9750
2018-01-12,35.3531
2018-01-11,35.0000
2018-01-10,35.0781
2018-01-09,35.0563
2018-01-08,35.3813
2018-01-05,35.1219
2018-01-04,33.4969
2018-01-03,34.2969
2018-01-02,34.2031
2017-12-31,32.8313
2017-12-29,27.6714
2017-12-28,27.7372
2017-12-27,27.7162
2017-12-26,27.6714
2017-12-22,27.9243
2017-12-21,28.4379
2017-12-20,28.5643
2017-12-19,28.1824
2017-12-18,28.2719
2017-12-15,28.7829
2017-12-14,28.0296
2017-12-13,27.7978
2017-12-12,28.3562
2017-12-11,28.4247
2017-12-08,27.7267
2017-12-07,27.4897
2017-12-06,27.1762
2017-12-05,27.2289
2017-12-04,26.5573
2017-12-01,27.9243
2017-11-30,28.0112
2017-11-29,27.7847
2017-11-28,28.8329
2017-11-27,28.1797
2017-11-24,28.4300
2017-11-22,28.2667
2017-11-21,28.3694
2017-11-20,28.3509
2017-11-17,28.6617
2017-11-16,29.3939
2017-11-15,29.3623
2017-11-14,29.5704
2017-11-13,29.5019
2017-11-10,29.6968
2017-11-09,29.4703
2017-11-08,30.0656
2017-11-07,29.4203
2017-11-06,29.6205
2017-11-03,29.8154
2017-11-02,29.6810
2017-11-01,30.1499
2017-10-31,31.5010
2017-10-30,30.9690
2017-10-27,30.7873
2017-10-26,30.5081
2017-10-25,30.1736
2017-10-24,29.8654
2017-10-23,29.9365
2017-10-20,29.9260
2017-10-19,29.7811
2017-10-18,29.8048
2017-10-17,30.5476
2017-10-16,30.9427
2017-10-13,31.2429
2017-10-12,30.8531
2017-10-11,30.5660
2017-10-10,31.0322
2017-10-09,31.2429
2017-10-06,31.6301
2017-10-05,31.4800
2017-10-04,31.2271
2017-10-03,31.0691
2017-10-02,31.0665
2017-09-30,31.0954
2017-09-29,31.5947
2017-09-28,31.2067
2017-09-27,31.0354
2017-09-26,30.4868
2017-09-25,30.5617
2017-09-22,31.7125
2017-09-21,31.5840
2017-09-20,32.2049
2017-09-19,32.1701
2017-09-18,32.1032
2017-09-15,31.9587
2017-09-14,31.8971
2017-09-13,32.0069
2017-09-12,32.2236
2017-09-11,32.4324
2017-09-08,31.6536
2017-09-07,31.8275
2017-09-06,31.3111
2017-09-05,31.6349
2017-09-01,31.9292
2017-08-31,32.5153
2017-08-30,32.6411
2017-08-29,31.9078
2017-08-28,31.7740
2017-08-25,31.2923
2017-08-24,31.5305
2017-08-23,31.6268
2017-08-22,31.8543
2017-08-21,31.2682
2017-08-18,31.2789
2017-08-17,31.1692
2017-08-16,31.9132
2017-08-15,31.4261
2017-08-14,31.3405
2017-08-11,30.8962
2017-08-10,30.5055
2017-08-09,31.0729
2017-08-08,31.1772
2017-08-07,31.3003
2017-08-04,31.3699
2017-08-03,31.8061
2017-08-02,31.2656
2017-08-01,31.2896
2017-07-31,31.2415
2017-07-28,31.6456
2017-07-27,31.4716
2017-07-26,31.5787
2017-07-25,30.4172
2017-07-24,30.4413
2017-07-21,30.0318
2017-07-20,29.9649
2017-07-19,29.8606
2017-07-18,29.5127
2017-07-17,29.2879
2017-07-14,29.1674
2017-07-13,29.1648
2017-07-12,29.6197
2017-07-11,29.0149
2017-07-10,28.8597
2017-07-07,28.7553
2017-07-06,28.3004
2017-07-05,28.5707
2017-07-03,28.2121
2017-06-30,28.2923
2017-06-29,34.6735
2017-06-28,35.3658
2017-06-27,35.2066
2017-06-26,36.3571
2017-06-23,36.0354
2017-06-22,36.6042
2017-06-21,36.7829
2017-06-20,36.8804
2017-06-19,36.9389
2017-06-16,35.9184
2017-06-15,35.9249
2017-06-14,35.7591
2017-06-13,35.7461
2017-06-12,35.3951
2017-06-09,35.9021
2017-06-08,37.1469
