Period,PE Ratio
2019-08-20,27.8610
2019-08-19,28.0362
2019-08-16,27.9616
2019-08-15,27.6000
2019-08-14,27.2167
2019-08-13,27.6649
2019-08-12,27.2950
2019-08-09,27.7648
2019-08-08,27.9616
2019-08-07,27.7379
2019-08-06,27.3409
2019-08-05,26.8902
2019-08-02,27.5888
2019-08-01,28.3345
2019-07-31,27.6634
2019-07-30,27.2197
2019-07-29,27.7230
2019-07-26,27.7230
2019-07-25,27.4486
2019-07-24,27.3651
2019-07-23,27.4583
2019-07-22,27.9169
2019-07-19,28.7707
2019-07-18,28.4389
2019-07-17,28.5969
2019-07-16,28.3807
2019-07-15,28.5992
2019-07-12,28.4299
2019-07-11,28.8862
2019-07-10,28.5209
2019-07-09,27.6313
2019-07-08,28.0004
2019-07-05,27.7752
2019-07-03,28.1108
2019-07-02,27.5143
2019-07-01,27.6261
2019-06-30,27.0221
2019-06-28,25.0301
2019-06-27,24.9354
2019-06-26,24.3408
2019-06-25,24.4499
2019-06-24,24.5190
2019-06-21,24.7952
2019-06-20,24.8553
2019-06-19,24.0355
2019-06-18,24.5051
2019-06-17,24.0224
2019-06-14,24.0327
2019-06-13,23.8946
2019-06-12,23.8670
2019-06-11,24.6882
2019-06-10,25.0853
2019-06-07,25.0314
2019-06-06,24.5880
2019-06-05,24.4499
2019-06-04,24.2600
2019-06-03,24.6226
2019-05-31,24.3972
2019-05-30,24.1736
2019-05-29,24.1046
2019-05-28,24.3152
2019-05-24,24.6571
2019-05-23,23.9906
2019-05-22,23.7316
2019-05-21,23.7938
2019-05-20,23.4225
2019-05-17,23.4830
2019-05-16,23.3559
2019-05-15,23.8283
2019-05-14,23.5548
2019-05-13,22.7004
2019-05-10,23.5313
2019-05-09,23.0913
2019-05-08,23.6211
2019-05-07,23.2067
2019-05-06,23.8096
2019-05-03,23.9347
2019-05-02,23.8255
2019-05-01,23.9664
2019-04-30,23.7247
2019-04-29,23.8283
2019-04-26,23.6902
2019-04-25,22.1969
2019-04-24,23.2531
2019-04-23,23.0340
2019-04-22,23.6211
2019-04-18,24.3456
2019-04-17,21.4123
2019-04-16,21.2535
2019-04-15,21.0214
2019-04-12,21.0570
2019-04-11,20.3058
2019-04-10,20.3480
2019-04-09,20.5821
2019-04-08,20.1677
2019-04-05,20.7928
2019-04-04,19.9771
2019-04-03,20.1035
2019-04-02,19.6842
2019-04-01,19.8224
2019-03-31,19.8431
2019-03-29,22.2593
2019-03-28,22.2361
2019-03-27,21.6325
2019-03-26,22.2361
2019-03-25,21.9239
2019-03-22,21.8448
2019-03-21,21.0747
2019-03-20,21.4032
2019-03-19,21.9649
2019-03-18,22.0811
2019-03-15,21.6318
2019-03-14,21.2289
2019-03-13,21.6163
2019-03-12,21.1514
2019-03-11,20.9190
